% ARFF file Created by Marsyas (ArffFileSink)
@relation output.arff
@attribute Chroma_0 real
@attribute Chroma_1 real
@attribute Chroma_2 real
@attribute Chroma_3 real
@attribute Chroma_4 real
@attribute Chroma_5 real
@attribute Chroma_6 real
@attribute Chroma_7 real
@attribute Chroma_8 real
@attribute Chroma_9 real
@attribute Chroma_10 real
@attribute Chroma_11 real

@data
3.204865,-5.935191,5.052678,14.426183,-2.216446,-14.950079,-19.845961,10.946178,11.407370,-22.849361,-4.263981,1.633183
3.647031,5.879535,-3.536415,-4.261402,2.039299,-10.828894,-19.730937,17.292478,7.764131,-16.517284,-9.575420,0.745266
-3.462140,-2.450205,0.054213,5.028712,-3.959831,-9.792753,-18.490548,-5.937209,-4.187837,-17.956999,-13.288925,-15.226906
-2.559000,-4.740960,-2.346957,1.319330,-5.976750,-14.409623,-22.200519,3.018522,0.524654,-13.569432,-8.930751,-10.282993
4.057060,6.163345,4.523121,-4.229332,4.220365,-8.852774,-8.020500,-1.022495,10.120051,0.457685,1.391270,-3.307509
1.081807,-2.636163,9.829450,16.173605,11.332412,-1.919117,-9.569786,16.900181,10.144411,-6.908709,-6.417671,-1.819308
1.154480,6.412545,9.821182,2.328258,2.173188,-12.201215,-11.699664,10.917556,15.547917,4.378424,2.092737,5.483973
8.615079,4.186284,8.287332,1.823736,4.429151,-12.524654,-16.166659,2.502703,9.647444,-3.276175,0.209227,-8.894371
9.708718,6.234149,9.461379,12.012123,11.292012,-8.225251,-10.624144,8.163327,9.782727,-4.273231,-6.772258,-8.249828
6.138207,9.601234,4.672999,15.807222,8.715238,-3.430296,-10.133926,12.468881,4.660653,-11.143701,0.561864,-10.546628
5.369268,0.274824,2.683560,12.770405,2.331097,-13.042936,-4.542801,8.136401,1.355564,-14.705526,-6.174332,-3.558884
1.408160,3.854868,-3.044630,8.374617,-0.342329,-22.139418,-13.351974,5.569646,-3.982953,-11.501193,-14.091398,-4.189267
7.706833,-11.758618,-10.340865,3.182242,-13.299441,-17.227207,-7.688931,7.731218,-0.062120,-12.309229,-22.263801,-5.423913
-0.898839,-9.426222,-6.427584,-2.990454,5.589930,-22.015575,-16.250868,1.483112,-9.228047,-26.382312,-28.286960,-12.549791
-1.582407,-6.980071,-0.631730,-3.750422,-0.943483,-21.658631,-22.290063,-2.929748,-5.929836,-12.669643,-22.431902,-9.564825
3.728354,-2.083793,-6.333449,-2.779940,-5.220801,-5.504218,-17.641100,8.743579,7.695013,-6.187838,-11.118629,-18.326582
2.711137,5.464199,0.896385,6.156140,4.977133,-14.912719,-14.809876,14.347189,8.351533,-11.817577,4.004951,-5.141247
9.000602,13.036000,-3.599054,20.439866,4.910498,-8.533726,-14.326152,17.218635,12.109359,-7.423847,13.208845,-8.111524
-0.972742,12.563460,0.880519,16.345713,7.602607,-17.193518,-7.980183,15.077305,27.350174,-13.768546,3.820652,-2.746697
7.940474,11.533720,0.219367,19.723952,5.143011,-25.997032,-3.336772,9.954442,10.383267,-16.303615,-2.337432,-16.095978
-0.298166,-2.096399,-4.829069,10.432092,-8.952937,-29.407016,-6.222767,-1.186777,0.267417,-19.566259,-3.988821,-25.941024
-7.938540,-11.665953,-10.477831,1.612109,-5.312732,-20.605029,-14.835090,-13.845268,-15.907997,-28.593931,-22.815456,-20.907797
-6.303265,-19.973459,-16.152177,-7.072314,-15.461544,-29.025774,-32.660274,-14.825741,-29.303725,-29.020226,-23.563928,-23.381551
-5.576929,-14.040915,-16.310813,3.741486,-13.444159,-19.923488,-24.016922,-0.536123,-9.347893,-25.651619,-24.997235,-29.842555
-5.164992,-10.099730,-19.397030,-10.751142,-6.104183,-22.777630,-29.412637,2.895719,-5.347342,-44.826621,-29.780560,-32.553729
0.589211,-10.454966,-14.182333,-2.309124,-6.104859,-17.261015,-30.061417,14.270038,-0.724497,-22.202914,-14.930700,-27.601539
-3.003609,-0.521781,-6.545602,1.409888,-1.150918,-11.253474,-23.118568,2.211474,8.656106,-13.323197,-11.566156,-22.819900
-3.838272,2.828489,-3.844592,9.321949,0.777245,-13.823961,-11.602778,3.904988,15.309414,-19.079803,-0.281623,-20.280904
-10.013337,1.285898,-4.287363,16.069859,-5.133544,-14.930792,-9.819618,7.392337,3.682795,-22.410251,1.232903,-12.204030
-7.765083,16.912000,-3.291634,12.392737,-2.088816,-25.379694,-8.695722,-2.511564,-1.526109,-5.623930,-6.598708,-12.873890
-4.385444,3.652287,-16.606307,6.703648,-4.346777,-17.840588,-11.663793,-12.884542,-15.291557,-18.576855,-19.523077,-16.261289
